ID,Doza_snaga,Doza_jedinica_mjere
408797,40,mg
408798,40,mg
408799,40,mg
408801,20,mg
408802,20,mg
408808,100,mg
408810,50,mg
408812,25,mg
408848,320,mg
408850,160,mg
408852,80,mg
409023,2,mg
409024,2,mg
409029,4,mg
409031,4,mg
409072,10,mg
409086,500,mg
409141,50,mg
409144,40,mg
409148,60,mg
409159,2,mg
409161,4,mg
409173,3,g
409265,50,mg
409303,10,mg
409305,50,mg
409307,100,mg
409308,100,mg
409313,1,mg
409334,50,mg
409338,100,mg
409409,2,mg
409424,500,mg
409426,1000,mg
409450,25,mg
409498,400,mg
409532,0.4,mg
409533,0.3,mg
409533,0.3,mg
409534,0.2,mg
409534,0.2,mg
409626,50,mg
409628,100,mg
409664,80,mg
409773,200,mg
409775,200,mg
409849,5,mg
409851,10,mg
409853,20,mg
409856,40,mg
409911,40,mg
409954,200,mg
410042,5,mg
410044,10,mg
410095,1,g
410108,10,mg
410117,10,mg
410190,10,mg
410235,75,mg
410237,75,mg
410238,100,mg
410240,100,mg
410266,5,mg
410268,10,mg
410270,15,mg
410296,75,mg
410299,110,mg
410300,110,mg
410332,20,mg
410340,4,mg
410341,8,mg
410614,20,mg
410617,10,mg
410751,600,mg
410762,2.5,mg
410764,2.5,mg
410835,0.5,mg
410866,0.5,mg
410867,0.5,mg
410869,1,mg
410870,1,mg
410873,1.5,mg
410874,1.5,mg
410876,2,mg
410877,2,mg
410880,2.5,mg
410886,2.5,mg
410933,400,mg
410935,600,mg
410960,5,mg
410961,5,mg
410991,125,mg
410992,125,mg
410993,125,mg
411031,250,mg
411064,20,mg
411067,30,mg
411069,40,mg
411076,100,mg
411122,2.5,mg
411165,500,mg
411172,500,mg
411206,5,mg
411207,10,mg
411209,15,mg
411210,20,mg
411221,1,mg
411412,0.5,mg
411442,160,mg
411443,80,mg
411562,320,mg
411564,320,mg
411600,1,mg
411601,1,mg
411665,40,mg
411666,40,mg
411669,40,mg
411671,40,mg
412056,500,mg
412165,100,mg
412392,5,mg
412394,15,mg
412396,20,mg
412402,145,mg
412404,145,mg
412406,160,mg
412407,160,mg
412459,250,mg
412461,500,mg
412463,1000,mg
412570,1,mg
412572,1,mg
412573,1,mg
412574,1,mg
412577,2,mg
412579,2,mg
412580,2,mg
412581,2,mg
412583,3,mg
412585,3,mg
412586,3,mg
412587,3,mg
413254,200,mg
413263,400,mg
413307,2,mg
413395,3,mg
413511,200,mg
413516,2.5,mg
413530,20,mg
413538,75,mg
413545,500,mg
413575,40,mg
413614,20,mg
413637,75,mg
413638,75,mg
413640,75,mg
413641,100,mg
413642,100,mg
413644,100,mg
413713,10,mg
413715,20,mg
413797,600,mg
413880,800,mg
413890,44,mcg
413900,0.26,mg
413901,0.52,mg
413902,1.05,mg
413903,1.57,mg
413904,2.1,mg
413914,5,mg
413916,5,mg
413918,10,mg
413920,10,mg
413922,20,mg
413924,20,mg
414024,8,mg
414108,5,mg
414109,5,mg
414110,5,mg
414113,10,mg
414114,10,mg
414115,10,mg
414173,50,mg
414174,75,mg
414175,150,mg
414237,100,mg
414238,100,mg
414239,25,mg
414240,25,mg
414526,30,mg
414527,30,mg
414553,30,mg
414562,200,mg
414715,250,mg
414722,75,mg
414734,1,g
414746,500,mg
414766,400,mg
414785,1,mg
414787,2,mg
414789,3,mg
414791,4,mg
414792,6,mg
414858,10,mg
414859,25,mg
414888,4,mg
414889,4,mg
414891,8,mg
414893,20,mg
414896,40,mg
414942,25,mg
414946,100,mg
414949,150,mg
415054,200,mg
415056,1000,mg
415069,1000,mg
415070,200,mg
415080,100,mg
415084,160,mg
415172,40,mg
415239,200,mg
415240,200,mg
415255,4,mg
415256,8,mg
415281,50,mg
415283,75,mg
415285,100,mg
415300,50,mg
415302,100,mg
415305,150,mg
415308,200,mg
415310,250,mg
